"","unique_id","area","distid","obs_year","carbon","cbi"
"265",11225178,"project",47509,2018,86,NA
"266",11225178,"project",47509,2019,83,NA
"267",11225178,"project",47509,2020,84.5,1.6867687702179
"268",11225178,"project",47509,2021,79.5,NA
"269",11225178,"project",47509,2022,72,NA
"270",11225178,"project",47509,2023,65,NA
"271",11227983,"project",47509,2015,101.5,NA
"272",11227983,"project",47509,2016,75,NA
"273",11227983,"project",47509,2017,65.5,NA
"274",11227983,"project",47509,2018,67,NA
"275",11227983,"project",47509,2019,70.5,NA
"276",11227983,"project",47509,2020,76,0.0130737153813243
"277",11227983,"project",47509,2021,80.5,NA
"278",11227983,"project",47509,2022,82.5,NA
"279",11227983,"project",47509,2023,91,NA
"280",11227992,"project",47509,2015,92.5,NA
"281",11227992,"project",47509,2016,69,NA
"282",11227992,"project",47509,2017,62,NA
"283",11227992,"project",47509,2018,60.5,NA
"284",11227992,"project",47509,2019,64.5,NA
"285",11227992,"project",47509,2020,70.5,0.0135630425065756
"286",11227992,"project",47509,2021,73.5,NA
"287",11227992,"project",47509,2022,80,NA
"288",11227992,"project",47509,2023,89.5,NA
"289",11230801,"project",47509,2015,106.5,NA
"290",11230801,"project",47509,2016,39,NA
"291",11230801,"project",47509,2017,37,NA
"292",11230801,"project",47509,2018,47.5,NA
"293",11230801,"project",47509,2019,56.5,NA
"294",11230801,"project",47509,2020,66.5,0.000453888846095651
"295",11230801,"project",47509,2021,70.5,NA
"296",11230801,"project",47509,2022,81.5,NA
"297",11230801,"project",47509,2023,96.5,NA
"298",11236435,"project",47509,2015,100,NA
"299",11236435,"project",47509,2016,100.5,NA
"300",11236435,"project",47509,2017,103,NA
"301",11236435,"project",47509,2018,80,NA
"302",11236435,"project",47509,2019,55.5,0.107471100986004
"303",11236435,"project",47509,2020,56.5,NA
"304",11236435,"project",47509,2021,55,NA
"305",11236435,"project",47509,2022,65.5,NA
"306",11236435,"project",47509,2023,73.5,NA
"307",11239256,"project",47509,2015,99,NA
"308",11239256,"project",47509,2016,95,NA
"309",11239256,"project",47509,2017,93,NA
"310",11239256,"project",47509,2018,92,NA
"311",11239256,"project",47509,2019,88,0.021434873342514
"312",11239256,"project",47509,2020,85,NA
"313",11239256,"project",47509,2021,84,NA
"314",11239256,"project",47509,2022,82,NA
"315",11239256,"project",47509,2023,79,NA
"316",11239261,"project",47509,2015,63,NA
"317",11239261,"project",47509,2016,40.5,NA
"318",11239261,"project",47509,2017,41,NA
"319",11239261,"project",47509,2018,47.5,NA
"320",11239261,"project",47509,2019,56.5,NA
"321",11239261,"project",47509,2020,61,0.0118578597903252
"322",11239261,"project",47509,2021,70.5,NA
"323",11239261,"project",47509,2022,73,NA
"324",11239261,"project",47509,2023,68.5,NA
"325",11242071,"project",47509,2015,98,NA
"326",11242071,"project",47509,2016,70,NA
"327",11242071,"project",47509,2017,58.5,NA
"328",11242071,"project",47509,2018,63,NA
"329",11242071,"project",47509,2019,65.5,0.0619413815438747
"330",11242071,"project",47509,2020,65.5,NA
"331",11242071,"project",47509,2021,70.5,NA
"332",11242071,"project",47509,2022,77,NA
"333",11242071,"project",47509,2023,82,NA
"334",11242077,"project",47509,2015,77.5,NA
"335",11242077,"project",47509,2016,75,NA
"336",11242077,"project",47509,2017,67.5,NA
"337",11242077,"project",47509,2018,67,NA
"338",11242077,"project",47509,2019,72,0.00581527967005968
"339",11242077,"project",47509,2020,70,NA
"340",11242077,"project",47509,2021,70.5,NA
"341",11242077,"project",47509,2022,73,NA
"342",11242077,"project",47509,2023,82,NA
"343",11256172,"project",47509,2015,71,NA
"344",11256172,"project",47509,2016,62.5,NA
"345",11256172,"project",47509,2017,60.5,NA
"346",11256172,"project",47509,2018,60.5,NA
"347",11256172,"project",47509,2019,58.5,NA
"348",11256172,"project",47509,2020,57,0.0220412351191044
"349",11256172,"project",47509,2021,57,NA
"350",11256172,"project",47509,2022,63.5,NA
"351",11256172,"project",47509,2023,70,NA
"352",11256175,"project",47509,2015,84.5,NA
"353",11256175,"project",47509,2016,80.5,NA
"354",11256175,"project",47509,2017,75,NA
"355",11256175,"project",47509,2018,75,NA
"356",11256175,"project",47509,2019,73.5,NA
"357",11256175,"project",47509,2020,75.5,0.000133082168758847
"358",11256175,"project",47509,2021,79.5,NA
"359",11256175,"project",47509,2022,82.5,NA
"360",11256175,"project",47509,2023,82.5,NA
